Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,700	0,54	0,05	0,53
3,720	0,55	0,07	0,64
3,740	0,55	0,08	0,64
3,760	0,55	0,09	0,65
3,780	0,55	0,11	0,55
3,800	0,55	0,12	0,43
3,820	0,56	0,12	0,42
3,840	0,56	0,13	0,55
3,860	0,56	0,15	0,45
3,880	0,56	0,15	0,21
3,900	0,57	0,15	0,33
3,920	0,57	0,16	0,23
3,940	0,57	0,16	-0,01
3,960	0,58	0,16	0,09
3,980	0,58	0,17	0,22
4,000	0,58	0,17	1,51
4,020	0,59	0,23	1,60
4,040	0,59	0,24	-0,95
4,060	0,60	0,19	-1,25
4,080	0,60	0,19	-0,30
4,100	0,60	0,18	-0,53
4,120	0,61	0,16	-0,67
4,140	0,61	0,15	-0,35
4,160	0,61	0,15	0,01
4,180	0,62	0,15	-0,07
4,200	0,62	0,15	-0,54
4,220	0,62	0,13	-0,61
4,240	0,62	0,12	0,27
4,260	0,63	0,14	-0,35
4,280	0,63	0,11	-1,37
4,300	0,63	0,09	-0,41
4,320	0,63	0,09	-0,62
4,340	0,64	0,06	-1,03
4,360	0,64	0,05	-0,28
4,380	0,64	0,05	-0,70
4,400	0,64	0,02	-1,36
4,420	0,64	0,00	-0,61
4,440	0,64	-3,99E-4	0,35
4,460	0,64	0,01	-1,24
4,480	0,64	-0,05	-2,00
4,500	0,64	-0,07	-0,04
4,520	0,64	-0,05	0,53
4,540	0,63	-0,05	-0,53
4,560	0,63	-0,07	-2,03
4,580	0,63	-0,13	-1,01
4,600	0,63	-0,11	0,90
4,620	0,63	-0,09	-0,80
4,640	0,62	-0,15	-1,66
4,660	0,62	-0,16	0,18
4,680	0,62	-0,14	0,76
4,700	0,62	-0,13	-0,60
4,720	0,61	-0,16	-1,24
4,740	0,61	-0,18	-0,46
4,760	0,61	-0,18	-1,42
4,780	0,60	-0,24	-1,41
4,800	0,60	-0,24	1,41
4,820	0,59	-0,18	1,39
4,840	0,59	-0,18	0,10
4,860	0,59	-0,18	0,22
4,880	0,58	-0,17	0,02
4,900	0,58	-0,18	1,28
4,920	0,57	-0,12	0,20
4,940	0,57	-0,17	-2,58
4,960	0,57	-0,22	0,09
4,980	0,56	-0,16	1,84
5,000	0,56	-0,15	0,33
5,020	0,56	-0,15	0,18
5,040	0,56	-0,14	0,65
5,060	0,55	-0,13	0,66
5,080	0,55	-0,12	0,42
5,100	0,55	-0,11	0,53
5,120	0,55	-0,10	0,65
5,140	0,54	-0,08	0,54
5,160	0,54	-0,07	0,53
5,180	0,54	-0,06	0,65
5,200	0,54	-0,05	0,65
5,220	0,54	-0,04	0,65
5,240	0,54	-0,02	0,64
5,260	0,54	-0,01	0,75
5,280	0,54	0,01	0,76
5,300	0,54	0,02	0,64
5,320	0,54	0,03	0,75
5,340	0,54	0,05	0,77
5,360	0,54	0,06	0,54
5,380	0,54	0,07	0,54
5,400	0,54	0,09	0,54
5,420	0,55	0,09	0,53
5,440	0,55	0,11	0,66
5,460	0,55	0,12	0,43
5,480	0,55	0,12	0,40
5,500	0,56	0,14	0,66
5,520	0,56	0,15	1,86
5,540	0,56	0,21	1,59
5,560	0,57	0,21	-0,98
5,580	0,57	0,17	-0,82
5,600	0,57	0,18	0,11
5,620	0,58	0,18	0,11
5,640	0,58	0,19	0,12
5,660	0,58	0,18	-0,04
5,680	0,59	0,18	0,42
5,700	0,59	0,20	0,58
5,720	0,60	0,21	0,06
5,740	0,60	0,20	-0,67
5,760	0,60	0,18	-0,34
5,780	0,61	0,19	-0,07
5,800	0,61	0,18	-0,54
5,820	0,61	0,16	-0,59
5,840	0,62	0,15	4,10E-4
5,860	0,62	0,16	0,07
5,880	0,62	0,16	-0,76
5,900	0,63	0,13	-0,70
5,920	0,63	0,13	0,04
5,940	0,63	0,14	-0,49
5,960	0,63	0,11	0,30
5,980	0,64	0,15	-0,55
6,000	0,64	0,09	-1,82
6,020	0,64	0,07	-0,51
6,040	0,64	0,07	-2,15
6,060	0,64	-0,01	-0,98
6,080	0,64	0,03	0,53
6,100	0,64	0,01	-0,78
6,120	0,64	0,00	0,78
6,140	0,64	0,04	0,66
6,160	0,65	0,02	-1,93
6,180	0,64	-0,04	-3,34
6,200	0,64	-0,11	-2,28
6,220	0,64	-0,13	0,54
6,240	0,64	-0,09	0,65
6,260	0,64	-0,10	-0,63
6,280	0,63	-0,11	-0,90
6,300	0,63	-0,14	-0,48
6,320	0,63	-0,13	0,15
6,340	0,63	-0,13	-0,30
6,360	0,62	-0,15	-0,54
6,380	0,62	-0,15	-0,53
6,400	0,62	-0,17	-0,67
6,420	0,61	-0,18	-0,45
6,440	0,61	-0,18	-0,22
6,460	0,61	-0,19	-0,22
6,480	0,60	-0,19	-0,23
6,500	0,60	-0,20	-0,02
6,520	0,59	-0,19	0,33
6,540	0,59	-0,19	-1,08
6,560	0,59	-0,24	-1,29
6,580	0,58	-0,24	1,41
6,600	0,58	-0,18	1,40
6,620	0,57	-0,18	-0,01
6,640	0,57	-0,18	0,08
6,660	0,57	-0,18	0,42
6,680	0,56	-0,16	0,56
6,700	0,56	-0,15	0,22
6,720	0,56	-0,16	0,18
6,740	0,55	-0,15	0,64
6,760	0,55	-0,13	0,77
6,780	0,55	-0,12	0,55
6,800	0,55	-0,11	0,42
6,820	0,54	-0,10	0,53
6,840	0,54	-0,09	0,65
6,860	0,54	-0,07	0,65
6,880	0,54	-0,06	0,65
6,900	0,54	-0,05	0,65
6,920	0,54	-0,04	0,65
6,940	0,54	-0,02	0,64
6,960	0,54	-0,01	0,75
6,980	0,54	0,01	0,76
7,000	0,54	0,02	0,64
7,020	0,54	0,03	0,64
7,040	0,54	0,05	0,64
7,060	0,54	0,06	0,64
7,080	0,54	0,07	0,64
7,100	0,54	0,08	0,65
7,120	0,54	0,10	0,55
7,140	0,55	0,11	0,42
7,160	0,55	0,12	0,53
7,180	0,55	0,13	0,65
7,200	0,55	0,14	0,55
7,220	0,56	0,15	0,33
7,240	0,56	0,15	0,21
7,260	0,56	0,16	0,32
7,280	0,57	0,17	0,33
7,300	0,57	0,17	0,22
7,320	0,57	0,18	0,11
7,340	0,58	0,18	0,00
7,360	0,58	0,18	1,40
7,380	0,58	0,23	1,60
7,400	0,59	0,24	-0,95
7,420	0,59	0,19	-1,27
7,440	0,60	0,19	-0,11
7,460	0,60	0,19	-0,08
7,480	0,60	0,19	-0,41
7,500	0,61	0,17	-0,65
7,520	0,61	0,16	-0,57
7,540	0,61	0,15	-0,23
7,560	0,62	0,15	0,01
7,580	0,62	0,15	-0,07
7,600	0,62	0,15	-0,53
7,620	0,63	0,13	-0,64
7,640	0,63	0,12	-0,63
7,660	0,63	0,10	-0,77
7,680	0,63	0,09	-0,53
7,700	0,64	0,08	-0,64
7,720	0,64	0,07	-0,64
7,740	0,64	0,06	-0,63
7,760	0,64	0,04	-0,75
7,780	0,64	0,03	-0,76
7,800	0,64	0,01	-0,77
7,820	0,64	0,00	0,78
7,840	0,64	0,04	0,67
7,860	0,64	0,02	-2,06
7,880	0,64	-0,04	-3,24
7,900	0,64	-0,11	-2,04
7,920	0,64	-0,12	0,42
7,940	0,63	-0,09	0,63
7,960	0,63	-0,10	-0,40
7,980	0,63	-0,11	-0,78
8,000	0,63	-0,13	-0,48
8,020	0,63	-0,12	0,16
8,040	0,62	-0,12	-0,41
8,060	0,62	-0,14	-0,67
8,080	0,62	-0,15	-0,32
8,100	0,61	-0,15	-0,30
8,120	0,61	-0,16	-0,55
8,140	0,61	-0,18	-0,46
8,160	0,60	-0,18	-0,02
8,180	0,60	-0,18	-1,08
8,200	0,60	-0,22	-1,28
8,220	0,59	-0,23	1,28
8,240	0,59	-0,17	1,52
8,260	0,59	-0,17	-0,01
8,280	0,58	-0,17	0,10
8,300	0,58	-0,16	0,23
8,320	0,58	-0,16	-0,02
8,340	0,57	-0,16	0,21
8,360	0,57	-0,16	0,32
8,380	0,57	-0,15	0,31
8,400	0,56	-0,14	0,43
8,420	0,56	-0,13	0,42
8,440	0,56	-0,13	0,53
8,460	0,55	-0,11	0,65
8,480	0,55	-0,10	0,55
8,500	0,55	-0,09	0,43
8,520	0,55	-0,08	0,42
8,540	0,55	-0,07	0,53
8,560	0,55	-0,06	0,65
8,580	0,55	-0,05	0,64
8,600	0,54	-0,04	0,76
8,620	0,54	-0,02	0,65
8,640	0,54	-0,01	0,52
8,660	0,54	0,00	0,76
8,680	0,54	0,02	0,65
8,700	0,54	0,03	0,53
8,720	0,54	0,04	0,65
8,740	0,55	0,06	0,54
8,760	0,55	0,06	0,53
8,780	0,55	0,08	0,65
8,800	0,55	0,09	0,54
8,820	0,55	0,10	0,54
8,840	0,55	0,11	0,55
8,860	0,56	0,12	0,43
8,880	0,56	0,13	0,44
8,900	0,56	0,14	0,32
8,920	0,56	0,14	0,32
8,940	0,57	0,15	0,33
8,960	0,57	0,15	0,21
8,980	0,57	0,16	0,22
9,000	0,58	0,16	0,01
9,020	0,58	0,16	1,28
9,040	0,58	0,21	1,61
