Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
4,650	0,57	-0,26	0,34
4,675	0,56	-0,25	0,41
4,700	0,56	-0,24	0,48
4,725	0,55	-0,22	0,56
4,750	0,55	-0,21	0,49
4,775	0,54	-0,20	0,41
4,800	0,54	-0,19	0,47
4,825	0,53	-0,18	0,69
4,850	0,53	-0,16	0,70
4,875	0,52	-0,14	0,47
4,900	0,52	-0,13	0,61
4,925	0,52	-0,11	0,77
4,950	0,52	-0,09	0,62
4,975	0,51	-0,08	0,55
5,000	0,51	-0,07	0,55
5,025	0,51	-0,05	0,62
5,050	0,51	-0,04	0,62
5,075	0,51	-0,02	0,62
5,100	0,51	0,00	0,62
5,125	0,51	0,01	0,55
5,150	0,51	0,02	0,55
5,175	0,51	0,04	0,49
5,200	0,51	0,05	0,41
5,225	0,51	0,06	0,41
5,250	0,51	0,07	0,42
5,275	0,52	0,08	0,34
5,300	0,52	0,09	0,34
5,325	0,52	0,10	0,42
5,350	0,52	0,11	0,35
5,375	0,52	0,11	0,21
5,400	0,53	0,12	0,14
5,425	0,53	0,12	0,14
5,450	0,53	0,12	0,14
5,475	0,54	0,13	0,14
5,500	0,54	0,13	0,14
5,525	0,54	0,13	0,14
5,550	0,55	0,14	0,02
5,575	0,55	0,14	0,76
5,600	0,55	0,18	0,85
5,625	0,56	0,18	-0,75
5,650	0,56	0,14	-0,87
5,675	0,57	0,13	-0,07
5,700	0,57	0,13	0,00
5,725	0,57	0,13	-0,07
5,750	0,58	0,13	-0,07
5,775	0,58	0,13	3,89E-15
5,800	0,58	0,13	0,00
5,825	0,59	0,13	-0,06
5,850	0,59	0,13	-0,20
5,875	0,59	0,12	-0,29
5,900	0,59	0,11	-0,08
5,925	0,60	0,12	0,15
5,950	0,60	0,12	-0,06
5,975	0,60	0,11	-0,15
6,000	0,61	0,11	0,08
6,025	0,61	0,12	-0,12
6,050	0,61	0,11	-0,37
6,075	0,61	0,10	0,01
6,100	0,62	0,11	-0,05
6,125	0,62	0,10	-0,38
6,150	0,62	0,09	0,14
6,175	0,62	0,10	0,16
6,200	0,63	0,10	-0,23
6,225	0,63	0,09	0,09
6,250	0,63	0,10	-0,20
6,275	0,63	0,08	-0,36
6,300	0,64	0,08	-0,06
6,325	0,64	0,08	-0,14
6,350	0,64	0,08	-0,14
6,375	0,64	0,07	0,89
6,400	0,64	0,12	0,08
6,425	0,65	0,08	-1,16
6,450	0,65	0,06	0,68
6,475	0,65	0,11	-0,06
6,500	0,65	0,06	-1,17
6,525	0,65	0,05	-0,21
6,550	0,66	0,05	-0,13
6,575	0,66	0,05	-0,20
6,600	0,66	0,04	-0,34
6,625	0,66	0,03	-0,35
6,650	0,66	0,02	-0,21
6,675	0,66	0,02	-0,20
6,700	0,66	0,01	-0,27
6,725	0,66	0,00	-0,34
6,750	0,66	-0,01	-0,34
6,775	0,66	-0,01	-1,37
6,800	0,66	-0,07	-0,62
6,825	0,66	-0,04	1,50
6,850	0,66	4,97E-4	-0,20
6,875	0,66	-0,05	-1,31
6,900	0,65	-0,06	-1,31
6,925	0,65	-0,12	-1,35
6,950	0,65	-0,13	0,29
6,975	0,65	-0,11	0,18
7,000	0,64	-0,12	-0,50
7,025	0,64	-0,13	-0,20
7,050	0,64	-0,13	-0,33
7,075	0,63	-0,15	-0,56
7,100	0,63	-0,16	-0,41
7,125	0,63	-0,17	-0,40
7,150	0,62	-0,18	-0,56
7,175	0,62	-0,20	-0,50
7,200	0,61	-0,21	-0,29
7,225	0,61	-0,21	-0,13
7,250	0,60	-0,21	-0,28
7,275	0,60	-0,22	-0,29
7,300	0,59	-0,23	-0,14
7,325	0,58	-0,23	-0,14
7,350	0,58	-0,23	-0,09
7,375	0,57	-0,24	-0,84
7,400	0,57	-0,28	-0,79
7,425	0,56	-0,27	0,83
7,450	0,55	-0,23	0,87
7,475	0,55	-0,23	0,21
7,500	0,54	-0,22	0,14
7,525	0,54	-0,22	0,13
7,550	0,53	-0,22	0,35
7,575	0,52	-0,21	0,28
7,600	0,52	-0,20	0,26
7,625	0,51	-0,19	0,48
7,650	0,51	-0,18	0,55
7,675	0,51	-0,17	0,55
7,700	0,50	-0,15	0,55
7,725	0,50	-0,14	0,61
7,750	0,49	-0,12	0,76
7,775	0,49	-0,10	0,69
7,800	0,49	-0,09	0,61
