Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,55		
0,020	0,56	0,30	
0,040	0,57	0,26	-0,84
0,060	0,57	0,27	0,30
0,080	0,58	0,27	0,56
0,100	0,58	0,29	0,35
0,120	0,59	0,29	-0,04
0,140	0,59	0,29	0,46
0,160	0,60	0,31	0,13
0,180	0,61	0,30	-0,22
0,200	0,61	0,30	-0,09
0,220	0,62	0,29	-0,45
0,240	0,62	0,28	1,06
0,260	0,63	0,34	1,55
0,280	0,64	0,34	-1,58
0,300	0,64	0,27	-2,06
0,320	0,65	0,26	-0,55
0,340	0,65	0,25	-0,42
0,360	0,66	0,24	-0,54
0,380	0,66	0,23	-0,55
0,400	0,67	0,22	-0,41
0,420	0,67	0,21	-0,62
0,440	0,68	0,20	-0,88
0,460	0,68	0,18	-0,65
0,480	0,68	0,17	-0,50
0,500	0,69	0,16	-0,85
0,520	0,69	0,13	-0,99
0,540	0,69	0,12	-0,75
0,560	0,69	0,10	-0,73
0,580	0,70	0,09	-0,97
0,600	0,70	0,07	-0,98
0,620	0,70	0,05	-0,85
0,640	0,70	0,03	-0,96
0,660	0,70	0,01	-1,07
0,680	0,70	-0,01	-1,10
0,700	0,70	-0,03	-0,87
0,720	0,70	-0,05	-0,73
0,740	0,70	-0,06	-0,96
0,760	0,70	-0,08	-1,10
0,780	0,69	-0,11	-0,88
0,800	0,69	-0,12	-0,62
0,820	0,69	-0,13	-0,85
0,840	0,69	-0,15	-0,98
0,860	0,68	-0,17	-0,86
0,880	0,68	-0,19	-0,72
0,900	0,68	-0,20	-2,43
0,920	0,67	-0,28	-0,69
0,940	0,66	-0,23	1,25
0,960	0,66	-0,23	-2,04
0,980	0,66	-0,31	-0,99
1,000	0,65	-0,27	0,50
1,020	0,64	-0,29	-0,32
1,040	0,64	-0,29	-0,31
1,060	0,63	-0,30	-0,43
1,080	0,63	-0,30	-0,44
1,100	0,62	-0,32	-0,24
1,120	0,61	-0,31	-1,28
1,140	0,61	-0,37	-1,64
1,160	0,60	-0,38	1,27
1,180	0,59	-0,32	1,64
1,200	0,59	-0,31	3,99E-4
1,220	0,58	-0,32	-0,03
1,240	0,57	-0,31	0,32
1,260	0,57	-0,31	0,32
1,280	0,56	-0,30	0,31
1,300	0,56	-0,29	0,43
1,320	0,55	-0,28	0,43
1,340	0,54	-0,28	0,43
1,360	0,54	-0,27	0,41
1,380	0,53	-0,26	0,64
1,400	0,53	-0,24	0,77
1,420	0,52	-0,23	0,54
1,440	0,52	-0,22	0,52
1,460	0,51	-0,21	0,75
1,480	0,51	-0,19	0,86
1,500	0,51	-0,17	0,87
1,520	0,50	-0,16	0,75
1,540	0,50	-0,14	0,74
1,560	0,50	-0,13	0,97
1,580	0,50	-0,10	0,98
1,600	0,49	-0,09	0,75
1,620	0,49	-0,07	0,85
1,640	0,49	-0,05	1,09
1,660	0,49	-0,03	0,86
1,680	0,49	-0,02	0,85
1,700	0,49	0,00	0,98
1,720	0,49	0,02	0,75
1,740	0,49	0,03	0,74
1,760	0,49	0,05	0,85
1,780	0,49	0,07	0,97
1,800	0,49	0,09	0,87
1,820	0,50	0,10	0,64
1,840	0,50	0,11	0,75
1,860	0,50	0,13	0,76
1,880	0,50	0,15	0,65
1,900	0,51	0,16	0,54
1,920	0,51	0,17	0,53
1,940	0,51	0,18	0,65
1,960	0,52	0,19	0,54
1,980	0,52	0,20	0,44
2,000	0,52	0,21	0,32
2,020	0,53	0,21	0,32
2,040	0,53	0,22	0,33
2,060	0,54	0,23	0,21
2,080	0,54	0,23	0,12
2,100	0,55	0,23	1,49
2,120	0,55	0,29	0,42
2,140	0,56	0,25	-2,65
2,160	0,56	0,19	1,09
2,180	0,57	0,29	2,67
2,200	0,57	0,29	-1,43
2,220	0,58	0,24	-1,05
2,240	0,58	0,25	0,17
2,260	0,59	0,24	-0,66
2,280	0,59	0,22	-0,48
2,300	0,60	0,22	0,13
2,320	0,60	0,23	-0,06
2,340	0,61	0,22	-0,65
2,360	0,61	0,20	-0,56
2,380	0,61	0,20	-0,31
2,400	0,62	0,19	-0,42
2,420	0,62	0,18	-0,55
2,440	0,63	0,17	-0,46
2,460	0,63	0,16	-0,07
2,480	0,63	0,17	-0,48
2,500	0,64	0,14	-1,23
2,520	0,64	0,12	-0,68
2,540	0,64	0,12	-0,17
2,560	0,64	0,11	-0,64
2,580	0,64	0,09	-0,78
2,600	0,65	0,08	0,75
2,620	0,65	0,12	1,00
2,640	0,65	0,12	-1,81
2,660	0,65	0,05	-2,17
2,680	0,65	0,03	-0,69
2,700	0,65	0,02	-0,20
2,720	0,65	0,02	-0,29
2,740	0,65	0,01	-0,64
2,760	0,65	0,00	-0,66
2,780	0,65	-0,02	-0,56
2,800	0,65	-0,03	-0,32
2,820	0,65	-0,03	-0,19
2,840	0,65	-0,03	-1,72
2,860	0,65	-0,10	-2,00
2,880	0,65	-0,11	1,19
2,900	0,65	-0,05	1,24
2,920	0,65	-0,06	-0,70
2,940	0,64	-0,08	-0,09
2,960	0,64	-0,07	-0,30
2,980	0,64	-0,09	-0,60
3,000	0,64	-0,09	0,12
3,020	0,64	-0,09	0,02
3,040	0,64	-0,09	-0,23
3,060	0,63	-0,09	-0,12
3,080	0,63	-0,09	0,02
3,100	0,63	-0,09	-0,22
3,120	0,63	-0,10	-0,14
3,140	0,63	-0,10	0,23
3,160	0,62	-0,09	0,01
3,180	0,62	-0,10	-0,15
3,200	0,62	-0,10	0,33
3,220	0,62	-0,09	0,24
3,240	0,62	-0,09	-0,12
3,260	0,62	-0,09	-0,01
3,280	0,61	-0,09	0,09
3,300	0,61	-0,09	0,33
3,320	0,61	-0,08	0,23
3,340	0,61	-0,08	-0,01
3,360	0,61	-0,08	0,09
3,380	0,61	-0,07	0,34
3,400	0,60	-0,06	0,12
3,420	0,60	-0,07	-0,03
3,440	0,60	-0,07	0,35
3,460	0,60	-0,06	1,63E-4
3,480	0,60	-0,07	-0,05
3,500	0,60	-0,06	0,57
3,520	0,60	-0,04	0,14
3,540	0,60	-0,05	-0,36
3,560	0,60	-0,06	0,08
3,580	0,59	-0,05	0,45
3,600	0,59	-0,04	0,25
3,620	0,59	-0,04	-0,22
3,640	0,59	-0,05	-0,26
3,660	0,59	-0,05	0,30
3,680	0,59	-0,04	0,60
3,700	0,59	-0,02	-0,17
3,720	0,59	-0,04	-0,82
3,740	0,59	-0,06	-0,05
3,760	0,59	-0,04	0,58
3,780	0,59	-0,03	0,04
3,800	0,59	-0,04	-0,46
3,820	0,58	-0,05	-0,13
3,840	0,58	-0,05	0,23
3,860	0,58	-0,04	0,02
3,880	0,58	-0,05	-0,22
3,900	0,58	-0,05	-0,22
3,920	0,58	-0,06	-0,22
3,940	0,58	-0,06	-0,12
3,960	0,58	-0,06	0,01
3,980	0,58	-0,06	-0,10
4,000	0,57	-0,06	-0,22
4,020	0,57	-0,07	-0,01
4,040	0,57	-0,06	-1,39
4,060	0,57	-0,12	-0,30
4,080	0,57	-0,08	2,46
4,100	0,57	-0,03	-0,13
4,120	0,57	-0,08	-1,29
4,140	0,56	-0,08	-1,30
4,160	0,56	-0,13	-1,38
4,180	0,56	-0,13	1,19
4,200	0,56	-0,09	1,16
4,220	0,56	-0,09	-6,94E-14
4,240	0,55	-0,09	-2,15E-14
4,260	0,55	-0,09	0,01
4,280	0,55	-0,09	-0,12
4,300	0,55	-0,09	0,10
4,320	0,55	-0,08	0,23
