Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,720	0,60	0,40	0,86
3,740	0,61	0,45	1,08
3,760	0,62	0,44	-1,60
3,780	0,63	0,38	-1,82
3,800	0,63	0,37	-0,66
3,820	0,64	0,36	0,79
3,840	0,65	0,40	0,60
3,860	0,66	0,38	-2,62
3,880	0,66	0,30	-2,31
3,900	0,67	0,29	-0,41
3,920	0,67	0,28	-0,61
3,940	0,68	0,26	-0,97
3,960	0,68	0,24	-0,98
3,980	0,69	0,23	-0,86
4,000	0,69	0,21	-0,87
4,020	0,70	0,19	-0,75
4,040	0,70	0,18	-0,74
4,060	0,70	0,16	-0,83
4,080	0,71	0,14	-1,16
4,100	0,71	0,11	-1,45
4,120	0,71	0,09	-0,86
4,140	0,71	0,08	-0,79
4,160	0,72	0,06	-1,55
4,180	0,72	0,02	-1,14
4,200	0,72	0,01	-0,34
4,220	0,72	0,00	-1,23
4,240	0,72	-0,04	-1,91
4,260	0,72	-0,07	-1,11
4,280	0,71	-0,08	-0,73
4,300	0,71	-0,10	-0,95
4,320	0,71	-0,12	-1,19
4,340	0,71	-0,15	-1,09
4,360	0,70	-0,17	-0,97
4,380	0,70	-0,19	-0,99
4,400	0,70	-0,21	-0,74
4,420	0,69	-0,22	-0,86
4,440	0,69	-0,24	-0,88
4,460	0,68	-0,25	-0,50
4,480	0,68	-0,26	-2,29
4,500	0,67	-0,34	-0,89
4,520	0,66	-0,30	0,92
4,540	0,66	-0,31	-2,37
4,560	0,65	-0,39	-1,22
4,580	0,64	-0,36	0,89
4,600	0,64	-0,35	-3,93
4,620	0,63	-0,51	-11,45
4,640	0,62	-0,81	-1,48
4,660	0,60	-0,57	-80,88
4,680	0,59	-4,05	-5,35
4,700	0,44	-0,79	183,79
4,720	0,56	3,30	24,64
4,740	0,57	0,20	-85,80
4,760	0,57	-0,13	-15,36
4,780	0,56	-0,42	-7,80
4,800	0,55	-0,44	0,18
4,820	0,55	-0,41	-3,58
4,840	0,54	-0,58	-6,93
4,860	0,52	-0,69	3,59
4,880	0,51	-0,44	11,34
4,900	0,50	-0,23	3,79
4,920	0,50	-0,29	-4,14
4,940	0,49	-0,40	-6,76
4,960	0,48	-0,56	-5,86
4,980	0,47	-0,63	-2,14
5,000	0,46	-0,64	-1,23
5,020	0,44	-0,68	6,52
5,040	0,43	-0,38	11,49
5,060	0,43	-0,22	3,25
5,080	0,42	-0,25	1,18
5,100	0,42	-0,18	1,40
5,120	0,42	-0,20	-0,80
5,140	0,41	-0,21	3,92
5,160	0,41	-0,04	3,57
5,180	0,41	-0,06	-4,56
5,200	0,41	-0,22	-4,02
5,220	0,40	-0,22	0,51
5,240	0,40	-0,20	1,10
5,260	0,39	-0,18	0,74
5,280	0,39	-0,17	0,93
5,300	0,39	-0,14	1,65
5,320	0,38	-0,11	0,99
5,340	0,38	-0,10	0,62
5,360	0,38	-0,08	1,18
5,380	0,38	-0,06	1,19
5,400	0,38	-0,04	1,09
5,420	0,38	-0,01	0,85
5,440	0,38	0,00	1,06
5,460	0,38	0,03	1,30
5,480	0,38	0,05	1,18
5,500	0,38	0,08	1,20
5,520	0,38	0,10	0,85
5,540	0,38	0,11	0,95
5,560	0,38	0,14	1,19
5,580	0,39	0,16	0,97
5,600	0,39	0,18	0,85
5,620	0,39	0,19	1,08
5,640	0,40	0,22	0,98
5,660	0,40	0,23	0,74
5,680	0,41	0,25	0,97
5,700	0,41	0,27	0,98
5,720	0,42	0,29	0,76
5,740	0,42	0,30	0,64
5,760	0,43	0,31	0,75
5,780	0,44	0,33	0,76
5,800	0,44	0,34	0,55
5,820	0,45	0,35	0,31
5,840	0,46	0,36	0,65
5,860	0,47	0,38	-1,30
5,880	0,47	0,30	0,26
5,900	0,48	0,39	4,79
5,920	0,49	0,49	0,62
5,940	0,50	0,41	-2,43
5,960	0,51	0,40	0,07
5,980	0,51	0,42	2,34
6,000	0,52	0,49	0,12
6,020	0,53	0,42	-6,59
6,040	0,54	0,23	-0,68
6,060	0,54	0,39	7,54
6,080	0,55	0,53	2,98
6,100	0,56	0,51	-0,71
6,120	0,58	0,50	-5,45
6,140	0,58	0,30	-4,80
6,160	0,59	0,31	0,48
6,180	0,60	0,31	-0,94
6,200	0,60	0,27	8,05
6,220	0,61	0,64	9,47
6,240	0,63	0,65	-6,76
6,260	0,63	0,37	-7,31
6,280	0,64	0,36	-0,51
6,300	0,65	0,35	-0,95
6,320	0,65	0,32	0,11
6,340	0,66	0,35	0,33
6,360	0,67	0,33	-2,18
6,380	0,67	0,26	-1,96
6,400	0,68	0,25	-0,41
6,420	0,68	0,25	-0,61
6,440	0,69	0,23	-0,95
6,460	0,69	0,21	-1,07
6,480	0,70	0,19	-1,08
6,500	0,70	0,17	-0,99
6,520	0,70	0,15	-0,74
6,540	0,71	0,14	-0,84
6,560	0,71	0,11	-1,07
6,580	0,71	0,09	-1,06
6,600	0,71	0,07	-1,18
6,620	0,71	0,05	-1,18
6,640	0,71	0,02	-1,19
6,660	0,71	0,00	-1,09
6,680	0,71	-0,02	-0,95
6,700	0,71	-0,04	-1,21
6,720	0,71	-0,07	-0,98
6,740	0,71	-0,08	-0,86
6,760	0,71	-0,10	-0,86
6,780	0,71	-0,11	-0,79
6,800	0,70	-0,13	-1,53
6,820	0,70	-0,18	-1,37
6,840	0,70	-0,19	-0,52
6,860	0,69	-0,20	-0,74
6,880	0,69	-0,22	-0,89
6,900	0,68	-0,23	-0,52
6,920	0,68	-0,24	-0,72
6,940	0,68	-0,26	-1,11
6,960	0,67	-0,28	-0,63
6,980	0,66	-0,29	-2,01
7,000	0,66	-0,36	-2,66
7,020	0,65	-0,39	0,64
7,040	0,64	-0,34	0,80
7,060	0,64	-0,36	-1,02
7,080	0,63	-0,38	0,48
7,100	0,62	-0,34	-10,28
7,120	0,61	-0,79	-17,84
7,140	0,59	-1,05	15,73
7,160	0,57	-0,16	30,52
7,180	0,58	0,17	-3,57
7,200	0,58	-0,30	-16,70
7,220	0,57	-0,50	-4,55
7,240	0,56	-0,49	4,37
7,260	0,55	-0,33	4,34
7,280	0,55	-0,31	-6,04
7,300	0,54	-0,57	-11,80
7,320	0,52	-0,78	6,67
7,340	0,51	-0,30	17,20
7,360	0,51	-0,10	-2,26
7,380	0,50	-0,39	-7,41
7,400	0,50	-0,39	0,37
7,420	0,49	-0,38	-1,49
7,440	0,48	-0,45	-9,12
7,460	0,47	-0,74	-0,55
7,480	0,45	-0,47	19,03
7,500	0,45	0,02	8,24
7,520	0,45	-0,14	-8,58
7,540	0,45	-0,32	-4,05
7,560	0,44	-0,31	0,65
7,580	0,43	-0,30	0,62
7,600	0,43	-0,28	1,09
7,620	0,42	-0,25	0,88
7,640	0,42	-0,25	0,63
7,660	0,41	-0,23	0,86
7,680	0,41	-0,21	0,86
7,700	0,40	-0,19	0,87
7,720	0,40	-0,18	0,75
7,740	0,40	-0,16	0,84
7,760	0,39	-0,14	1,18
7,780	0,39	-0,12	1,20
7,800	0,39	-0,10	0,97
7,820	0,39	-0,08	0,96
7,840	0,39	-0,06	1,08
7,860	0,38	-0,04	0,97
7,880	0,38	-0,02	0,85
7,900	0,38	0,00	0,96
7,920	0,38	0,02	1,07
7,940	0,38	0,04	1,07
7,960	0,39	0,06	1,07
7,980	0,39	0,08	1,07
8,000	0,39	0,11	1,08
8,020	0,39	0,13	0,97
8,040	0,39	0,15	0,86
8,060	0,40	0,16	0,86
8,080	0,40	0,18	0,87
8,100	0,40	0,20	0,75
8,120	0,41	0,21	0,74
8,140	0,41	0,23	0,97
8,160	0,42	0,25	0,86
8,180	0,42	0,26	0,74
8,200	0,43	0,28	0,87
8,220	0,43	0,30	0,65
8,240	0,44	0,30	0,53
8,260	0,45	0,32	0,65
8,280	0,45	0,33	0,54
8,300	0,46	0,34	0,54
8,320	0,47	0,35	0,55
8,340	0,47	0,36	0,31
8,360	0,48	0,36	0,42
8,380	0,49	0,38	0,55
8,400	0,50	0,39	0,33
8,420	0,50	0,39	0,12
8,440	0,51	0,39	1,52
8,460	0,52	0,45	1,49
8,480	0,53	0,45	-1,41
8,500	0,54	0,39	-1,30
8,520	0,54	0,40	0,33
8,540	0,55	0,41	0,27
8,560	0,56	0,41	-0,38
8,580	0,57	0,39	-1,03
8,600	0,58	0,37	-0,29
8,620	0,58	0,38	0,60
8,640	0,59	0,39	1,22
8,660	0,60	0,43	0,96
8,680	0,61	0,43	-1,59
8,700	0,62	0,37	-1,92
8,720	0,62	0,35	-0,75
8,740	0,63	0,34	-0,77
8,760	0,64	0,32	-0,66
8,780	0,64	0,31	0,75
8,800	0,65	0,35	1,04
8,820	0,66	0,35	-2,21
8,840	0,66	0,26	-2,85
8,860	0,67	0,24	-1,01
8,880	0,67	0,22	-0,55
8,900	0,68	0,22	-0,39
8,920	0,68	0,21	-0,85
8,940	0,69	0,18	-1,00
8,960	0,69	0,17	-0,62
8,980	0,69	0,16	-0,85
9,000	0,70	0,13	-0,97
9,020	0,70	0,12	-0,94
9,040	0,70	0,10	-1,21
9,060	0,70	0,07	-0,88
9,080	0,70	0,06	-0,61
9,100	0,70	0,05	-0,96
9,120	0,70	0,02	-1,06
9,140	0,71	0,00	-1,18
9,160	0,70	-0,02	-1,20
9,180	0,70	-0,05	-0,98
9,200	0,70	-0,06	-0,86
9,220	0,70	-0,08	-0,85
9,240	0,70	-0,10	-0,97
9,260	0,70	-0,12	-0,86
9,280	0,70	-0,13	-2,04
9,300	0,69	-0,20	-2,29
9,320	0,69	-0,22	0,43
9,340	0,68	-0,18	0,55
9,360	0,68	-0,20	-0,75
9,380	0,68	-0,21	-0,76
9,400	0,67	-0,23	-0,65
9,420	0,67	-0,24	-0,62
9,440	0,66	-0,26	-0,98
9,460	0,66	-0,28	-0,87
9,480	0,65	-0,29	-0,75
9,500	0,64	-0,31	-0,77
9,520	0,64	-0,32	-0,43
9,540	0,63	-0,33	-1,71
9,560	0,63	-0,39	-2,06
9,580	0,62	-0,41	0,63
9,600	0,61	-0,37	0,95
9,620	0,60	-0,37	-0,08
9,640	0,59	-0,37	-0,42
9,660	0,59	-0,39	-0,60
9,680	0,58	-0,39	0,21
9,700	0,57	-0,38	0,25
9,720	0,56	-0,38	-0,21
9,740	0,56	-0,39	-0,34
9,760	0,55	-0,40	-0,05
9,780	0,54	-0,39	-0,84
9,800	0,53	-0,43	-1,24
9,820	0,52	-0,44	1,05
9,840	0,51	-0,39	1,48
9,860	0,51	-0,38	0,44
9,880	0,50	-0,37	0,32
9,900	0,49	-0,37	0,32
9,920	0,49	-0,36	0,32
9,940	0,48	-0,35	0,42
9,960	0,47	-0,34	0,66
9,980	0,46	-0,33	0,43
10,000	0,46	-0,32	0,42
10,020	0,45	-0,31	0,54
10,040	0,45	-0,30	0,53
10,060	0,44	-0,29	0,75
10,080	0,43	-0,27	0,75
10,100	0,43	-0,26	0,75
10,120	0,42	-0,24	0,75
10,140	0,42	-0,23	0,74
10,160	0,41	-0,21	0,97
10,180	0,41	-0,19	0,98
10,200	0,41	-0,17	0,76
10,220	0,40	-0,16	0,64
10,240	0,40	-0,15	0,74
10,260	0,40	-0,13	0,96
10,280	0,40	-0,11	1,08
10,300	0,39	-0,09	1,08
10,320	0,39	-0,07	1,08
10,340	0,39	-0,04	0,97
10,360	0,39	-0,03	0,86
10,380	0,39	-0,01	0,85
10,400	0,39	0,01	0,97
10,420	0,39	0,03	0,97
10,440	0,39	0,05	0,85
10,460	0,39	0,06	0,96
10,480	0,39	0,08	1,07
10,500	0,39	0,11	1,08
10,520	0,40	0,13	0,97
10,540	0,40	0,15	0,87
10,560	0,40	0,16	0,75
10,580	0,41	0,18	0,74
10,600	0,41	0,19	0,97
10,620	0,41	0,21	0,87
10,640	0,42	0,23	0,64
10,660	0,42	0,24	0,75
10,680	0,43	0,26	0,76
10,700	0,43	0,27	0,64
10,720	0,44	0,28	0,75
10,740	0,44	0,30	0,76
10,760	0,45	0,31	0,54
10,780	0,46	0,32	0,43
10,800	0,46	0,33	0,42
10,820	0,47	0,34	0,54
10,840	0,48	0,35	0,55
10,860	0,48	0,36	0,32
10,880	0,49	0,36	0,31
