Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,680	0,45	0,01	0,85
3,700	0,45	0,03	1,08
3,720	0,45	0,05	0,97
3,740	0,45	0,07	0,85
3,760	0,46	0,08	0,97
3,780	0,46	0,11	0,97
3,800	0,46	0,12	0,86
3,820	0,46	0,14	0,87
3,840	0,47	0,16	0,65
3,860	0,47	0,17	0,53
3,880	0,47	0,18	0,64
3,900	0,48	0,19	0,64
3,920	0,48	0,21	0,75
3,940	0,48	0,22	0,77
3,960	0,49	0,24	0,53
3,980	0,49	0,24	0,64
4,000	0,50	0,26	0,68
4,020	0,50	0,27	0,22
4,040	0,51	0,27	0,11
4,060	0,51	0,27	0,12
4,080	0,52	0,27	-0,01
4,100	0,53	0,27	0,11
4,120	0,53	0,28	0,12
4,140	0,54	0,28	-0,11
4,160	0,54	0,27	1,36
4,180	0,55	0,33	2,07
4,200	0,56	0,36	-1,10
4,220	0,56	0,29	-3,97
4,240	0,57	0,20	0,14
4,260	0,57	0,30	1,37
4,280	0,58	0,25	-1,43
4,300	0,58	0,24	1,95
4,320	0,59	0,33	-0,78
4,340	0,59	0,21	-3,56
4,360	0,60	0,19	0,77
4,380	0,60	0,24	0,69
4,400	0,61	0,22	-1,21
4,420	0,61	0,19	-0,84
4,440	0,61	0,18	-1,22
4,460	0,62	0,14	0,49
4,480	0,62	0,20	1,39
4,500	0,63	0,20	-2,28
4,520	0,63	0,11	-4,71
4,540	0,63	0,01	-2,70
4,560	0,63	0,00	1,38
4,580	0,63	0,06	0,48
4,600	0,63	0,02	-1,42
4,620	0,63	0,01	-1,18
4,640	0,63	-0,02	-1,34
4,660	0,63	-0,05	0,55
4,680	0,63	0,00	0,80
4,700	0,63	-0,01	-3,65
4,720	0,63	-0,15	-4,13
4,740	0,62	-0,18	0,18
4,760	0,62	-0,14	0,66
4,780	0,62	-0,15	-0,85
4,800	0,62	-0,17	-1,03
4,820	0,61	-0,19	-0,32
4,840	0,61	-0,19	-0,26
4,860	0,60	-0,20	-1,14
4,880	0,60	-0,23	-0,33
4,900	0,59	-0,22	-0,12
4,920	0,59	-0,24	-1,35
4,940	0,59	-0,27	-0,70
4,960	0,58	-0,27	0,01
4,980	0,57	-0,27	-0,01
5,000	0,57	-0,27	-1,38
5,020	0,56	-0,33	-0,32
5,040	0,56	-0,28	1,26
5,060	0,55	-0,28	-1,28
5,080	0,54	-0,33	-0,10
5,100	0,54	-0,28	1,28
