Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3,740	0,62	0,15	0,01
3,760	0,62	0,15	-0,09
3,780	0,62	0,14	-0,32
3,800	0,63	0,13	-0,34
3,820	0,63	0,13	-0,05
3,840	0,63	0,13	-0,75
3,860	0,63	0,10	-0,82
3,880	0,63	0,10	0,07
3,900	0,64	0,10	-0,76
3,920	0,64	0,07	-0,69
3,940	0,64	0,07	-0,07
3,960	0,64	0,07	-0,55
3,980	0,64	0,05	-0,44
4,000	0,64	0,05	-0,30
4,020	0,64	0,04	-0,52
4,040	0,65	0,03	-0,76
4,060	0,65	0,01	-0,68
4,080	0,65	4,04E-4	-0,28
4,100	0,65	0,00	-0,52
4,120	0,65	-0,02	-3,31
4,140	0,65	-0,13	-2,93
4,160	0,64	-0,14	3,76
4,180	0,64	0,02	3,06
4,200	0,64	-0,02	-2,50
4,220	0,64	-0,08	-3,70
4,240	0,64	-0,16	-0,91
4,260	0,63	-0,12	2,70
4,280	0,63	-0,06	-2,45
4,300	0,63	-0,22	-4,45
4,320	0,62	-0,23	1,21
4,340	0,62	-0,17	1,03
4,360	0,62	-0,19	-1,02
4,380	0,61	-0,21	-0,48
4,400	0,61	-0,21	0,15
4,420	0,60	-0,21	-0,26
4,440	0,60	-0,22	-1,10
4,460	0,60	-0,25	-0,69
4,480	0,59	-0,25	-1,49
4,500	0,59	-0,31	-1,93
4,520	0,58	-0,33	0,74
4,540	0,57	-0,28	0,97
4,560	0,57	-0,29	-0,45
4,580	0,56	-0,30	-0,22
4,600	0,56	-0,30	-0,09
4,620	0,55	-0,30	-0,33
4,640	0,54	-0,31	-0,22
4,660	0,54	-0,31	-0,10
4,680	0,53	-0,31	-0,22
4,700	0,52	-0,32	-0,22
4,720	0,52	-0,32	-0,12
4,740	0,51	-0,32	-4,62E-13
4,760	0,51	-0,32	-0,02
4,780	0,50	-0,32	0,22
4,800	0,49	-0,31	0,22
4,820	0,49	-0,31	0,09
4,840	0,48	-0,31	0,33
4,860	0,47	-0,30	0,22
4,880	0,47	-0,30	0,20
4,900	0,46	-0,29	0,44
4,920	0,46	-0,28	0,32
4,940	0,45	-0,28	0,31
4,960	0,44	-0,27	0,53
4,980	0,44	-0,26	0,65
5,000	0,43	-0,25	0,64
5,020	0,43	-0,23	0,75
5,040	0,43	-0,22	0,75
5,060	0,42	-0,20	0,75
5,080	0,42	-0,19	0,87
5,100	0,41	-0,17	0,75
5,120	0,41	-0,16	0,75
5,140	0,41	-0,14	0,86
5,160	0,40	-0,12	0,85
5,180	0,40	-0,10	0,96
5,200	0,40	-0,08	1,08
5,220	0,40	-0,06	0,96
5,240	0,40	-0,04	1,07
5,260	0,40	-0,02	1,20
5,280	0,40	0,00	0,96
5,300	0,40	0,02	1,07
5,320	0,40	0,05	1,19
5,340	0,40	0,07	0,97
5,360	0,40	0,08	0,85
5,380	0,40	0,10	0,96
5,400	0,41	0,12	1,07
5,420	0,41	0,14	1,07
5,440	0,41	0,17	1,07
5,460	0,41	0,19	1,07
5,480	0,42	0,21	1,19
5,500	0,42	0,24	1,09
5,520	0,43	0,25	0,74
5,540	0,43	0,27	0,86
5,560	0,44	0,29	0,87
5,580	0,44	0,30	0,63
5,600	0,45	0,31	0,85
5,620	0,46	0,33	0,97
5,640	0,46	0,35	0,86
5,660	0,47	0,37	0,87
5,680	0,48	0,39	0,66
5,700	0,49	0,39	0,33
5,720	0,49	0,40	1,72
5,740	0,50	0,46	1,80
5,760	0,51	0,47	-0,96
5,780	0,52	0,43	-1,16
5,800	0,53	0,42	0,08
5,820	0,54	0,43	0,43
5,840	0,55	0,44	0,49
5,860	0,56	0,45	-0,36
5,880	0,56	0,43	0,06
5,900	0,57	0,45	0,84
5,920	0,58	0,46	-0,30
5,940	0,59	0,44	-0,68
5,960	0,60	0,43	1,23
5,980	0,61	0,49	-0,56
6,000	0,62	0,41	-1,70
6,020	0,63	0,42	0,33
6,040	0,64	0,43	-9,71
6,060	0,64	0,03	-13,14
6,080	0,64	-0,10	3,01
6,100	0,64	0,15	12,13
6,120	0,64	0,38	9,10
6,140	0,65	0,51	1,19
6,160	0,66	0,43	-5,13
6,180	0,67	0,31	-4,35
6,200	0,68	0,26	-1,57
6,220	0,68	0,25	1,48
6,240	0,69	0,32	3,30
6,260	0,69	0,38	-0,67
6,280	0,70	0,29	-4,81
6,300	0,71	0,19	-7,27
6,320	0,71	-1,12E-4	-8,19
6,340	0,71	-0,14	-2,82
6,360	0,70	-0,11	2,28
6,380	0,70	-0,05	12,38
6,400	0,70	0,38	15,18
6,420	0,72	0,56	-5,05
6,440	0,72	0,18	-15,04
6,460	0,72	-0,04	-6,30
6,480	0,72	-0,07	-1,02
6,500	0,72	-0,09	-1,64
6,520	0,72	-0,14	-1,50
6,540	0,72	-0,15	-0,34
6,560	0,71	-0,15	-1,26
6,580	0,71	-0,20	-1,65
6,600	0,71	-0,22	-1,09
6,620	0,70	-0,24	-3,56
6,640	0,70	-0,36	-1,49
6,660	0,69	-0,30	3,41
6,680	0,68	-0,22	-0,76
6,700	0,68	-0,33	-3,22
6,720	0,67	-0,35	-0,85
6,740	0,66	-0,36	-2,38
6,760	0,66	-0,45	-1,07
6,780	0,65	-0,41	0,25
6,800	0,64	-0,44	-2,92
6,820	0,63	-0,52	-0,30
6,840	0,62	-0,45	0,79
6,860	0,61	-0,49	-0,95
6,880	0,60	-0,49	0,30
6,900	0,59	-0,48	-2,20
6,920	0,58	-0,57	-1,91
6,940	0,57	-0,56	1,89
6,960	0,56	-0,50	1,19
6,980	0,55	-0,51	-0,23
7,000	0,54	-0,51	0,01
7,020	0,53	-0,51	-0,11
7,040	0,52	-0,51	-0,12
7,060	0,51	-0,51	0,09
7,080	0,50	-0,51	0,32
7,100	0,49	-0,50	0,42
7,120	0,48	-0,49	0,53
7,140	0,47	-0,48	0,76
7,160	0,46	-0,46	0,66
7,180	0,45	-0,45	0,53
7,200	0,44	-0,44	0,76
7,220	0,43	-0,42	0,75
7,240	0,42	-0,41	0,85
7,260	0,41	-0,39	1,08
7,280	0,41	-0,37	0,97
7,300	0,40	-0,35	0,96
7,320	0,39	-0,33	1,17
7,340	0,39	-0,30	1,41
7,360	0,38	-0,27	1,20
7,380	0,38	-0,26	0,95
7,400	0,37	-0,23	1,28
7,420	0,37	-0,20	1,45
7,440	0,36	-0,18	2,77
7,460	0,36	-0,09	1,13
7,480	0,36	-0,13	-0,14
7,500	0,35	-0,10	2,77
7,520	0,35	-0,02	1,18
7,540	0,35	-0,05	-1,04
7,560	0,35	-0,06	0,31
7,580	0,35	-0,04	2,69
7,600	0,35	0,05	2,76
7,620	0,35	0,07	1,28
7,640	0,35	0,10	1,40
7,660	0,36	0,13	1,29
7,680	0,36	0,15	1,28
7,700	0,36	0,18	1,51
7,720	0,37	0,21	1,39
7,740	0,37	0,23	1,39
7,760	0,38	0,26	1,51
7,780	0,38	0,30	1,41
7,800	0,39	0,32	1,19
7,820	0,39	0,34	0,96
7,840	0,40	0,36	0,96
7,860	0,41	0,38	1,08
7,880	0,42	0,40	0,97
7,900	0,42	0,42	0,86
7,920	0,43	0,44	0,86
7,940	0,44	0,45	0,76
7,960	0,45	0,47	0,64
7,980	0,46	0,48	0,66
8,000	0,47	0,49	0,43
8,020	0,48	0,50	0,41
8,040	0,49	0,51	0,67
8,060	0,50	0,52	0,24
8,080	0,51	0,52	-0,13
8,100	0,52	0,52	0,21
8,120	0,53	0,53	0,24
8,140	0,54	0,53	-0,11
8,160	0,55	0,52	-0,10
8,180	0,56	0,52	-0,21
8,200	0,57	0,52	-0,46
8,220	0,58	0,51	1,27
8,240	0,59	0,57	1,84
8,260	0,61	0,58	-2,47
8,280	0,62	0,47	-1,21
8,300	0,63	0,53	-0,48
8,320	0,64	0,45	-2,67
8,340	0,64	0,42	0,00
8,360	0,66	0,45	-2,67
8,380	0,66	0,32	-0,68
8,400	0,67	0,42	2,67
8,420	0,68	0,42	-1,96
8,440	0,69	0,34	-2,73
8,460	0,69	0,32	-3,59
8,480	0,70	0,20	-1,14
8,500	0,70	0,27	3,57
8,520	0,71	0,34	-1,07
8,540	0,71	0,23	-3,65
8,560	0,72	0,20	-1,29
8,580	0,72	0,18	-1,28
8,600	0,73	0,14	-1,56
8,620	0,73	0,11	0,28
8,640	0,73	0,16	-1,36
8,660	0,73	0,06	-3,05
8,680	0,73	0,03	-1,50
8,700	0,74	0,00	-1,52
8,720	0,73	-0,03	-1,23
8,740	0,73	-0,05	-3,19
8,760	0,73	-0,15	-1,45
8,780	0,73	-0,11	0,39
8,800	0,73	-0,14	-1,43
8,820	0,72	-0,17	-1,22
8,840	0,72	-0,19	0,49
8,860	0,71	-0,15	-1,01
8,880	0,71	-0,23	-4,43
8,900	0,71	-0,32	0,33
8,920	0,70	-0,22	0,63
8,940	0,70	-0,30	-4,34
8,960	0,69	-0,39	0,59
8,980	0,68	-0,27	2,82
9,000	0,68	-0,28	-2,11
9,020	0,67	-0,36	-2,77
9,040	0,66	-0,39	-0,50
9,060	0,65	-0,38	-2,20
9,080	0,65	-0,48	-3,26
9,100	0,64	-0,51	0,87
9,120	0,63	-0,44	0,90
9,140	0,62	-0,47	-0,93
9,160	0,61	-0,48	-0,11
9,180	0,60	-0,48	-0,02
9,200	0,59	-0,48	-1,30
9,220	0,58	-0,53	0,11
9,240	0,57	-0,47	1,63
9,260	0,56	-0,46	-1,48
9,280	0,55	-0,53	-0,47
9,300	0,54	-0,48	1,60
9,320	0,53	-0,47	0,56
9,340	0,52	-0,46	-1,31
9,360	0,51	-0,52	-1,29
9,380	0,50	-0,51	1,85
9,400	0,49	-0,45	1,69
9,420	0,48	-0,44	0,63
9,440	0,47	-0,42	0,87
9,460	0,47	-0,41	0,74
9,480	0,46	-0,39	0,97
9,500	0,45	-0,37	0,98
9,520	0,44	-0,35	0,76
9,540	0,44	-0,34	0,74
9,560	0,43	-0,32	0,96
9,580	0,42	-0,30	1,08
9,600	0,42	-0,28	1,08
9,620	0,41	-0,26	1,08
9,640	0,41	-0,24	1,07
9,660	0,40	-0,22	1,18
9,680	0,40	-0,19	1,30
9,700	0,39	-0,16	1,19
9,720	0,39	-0,14	1,08
9,740	0,39	-0,12	1,07
9,760	0,39	-0,10	1,18
9,780	0,38	-0,07	1,29
9,800	0,38	-0,05	1,30
9,820	0,38	-0,02	1,19
9,840	0,38	0,00	1,06
9,860	0,38	0,02	1,28
9,880	0,38	0,05	1,41
9,900	0,38	0,08	1,08
9,920	0,39	0,09	0,95
9,940	0,39	0,11	1,18
9,960	0,39	0,14	1,19
9,980	0,39	0,16	0,98
10,000	0,40	0,18	0,74
10,020	0,40	0,19	0,85
10,040	0,40	0,21	1,08
10,060	0,41	0,24	0,97
10,080	0,41	0,25	0,86
10,100	0,42	0,27	0,76
10,120	0,42	0,28	0,64
10,140	0,43	0,30	0,64
10,160	0,44	0,31	0,64
10,180	0,44	0,32	0,65
10,200	0,45	0,33	0,55
10,220	0,46	0,34	0,33
10,240	0,46	0,35	0,21
10,260	0,47	0,35	0,31
10,280	0,48	0,36	0,44
10,300	0,48	0,37	0,22
10,320	0,49	0,37	0,10
10,340	0,50	0,37	0,23
10,360	0,51	0,38	0,01
10,380	0,51	0,37	-0,12
10,400	0,52	0,37	0,01
10,420	0,53	0,37	-0,10
10,440	0,54	0,37	-0,21
10,460	0,54	0,37	-0,21
10,480	0,55	0,36	-0,21
10,500	0,56	0,36	-0,31
10,520	0,57	0,35	0,98
10,540	0,57	0,40	1,07
10,560	0,58	0,39	-1,76
10,580	0,59	0,33	-1,27
10,600	0,59	0,34	0,18
10,620	0,60	0,33	-3,54
10,640	0,61	0,20	-1,15
10,660	0,61	0,29	1,42
10,680	0,62	0,26	-1,59
10,700	0,62	0,22	-0,34
10,720	0,63	0,24	-2,65
10,740	0,63	0,12	-3,75
10,760	0,63	0,09	3,94
10,780	0,63	0,27	3,89
10,800	0,64	0,25	-5,96
10,820	0,64	0,04	1,60
10,840	0,65	0,31	9,28
10,860	0,66	0,41	-4,73
10,880	0,66	0,12	-7,89
10,900	0,66	0,09	0,23
10,920	0,67	0,13	-1,11
10,940	0,67	0,05	-2,07
10,960	0,67	0,05	-0,49
10,980	0,67	0,03	-1,10
11,000	0,67	0,01	-0,86
11,020	0,67	-0,01	-0,86
11,040	0,67	-0,03	-0,89
11,060	0,67	-0,04	-0,55
11,080	0,67	-0,05	-0,39
11,100	0,67	-0,06	-0,86
11,120	0,66	-0,09	-0,90
11,140	0,66	-0,09	-0,37
11,160	0,66	-0,10	-1,06
11,180	0,66	-0,14	-1,36
11,200	0,65	-0,15	-0,59
