Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
3.660	0.24	-0.32	1.39
3.680	0.23	-0.29	1.63
3.700	0.22	-0.26	1.29
3.720	0.22	-0.24	1.48
3.740	0.21	-0.20	2.50
3.760	0.21	-0.14	1.84
3.780	0.21	-0.13	1.49
3.800	0.21	-0.08	1.95
3.820	0.21	-0.05	1.40
3.840	0.20	-0.03	1.38
3.860	0.20	0.01	1.94
3.880	0.20	0.05	1.64
3.900	0.21	0.07	0.72
3.920	0.21	0.08	1.70
3.940	0.21	0.14	2.49
3.960	0.21	0.18	1.72
3.980	0.22	0.21	1.51
4.000	0.22	0.24	1.18
4.020	0.23	0.26	1.05
4.040	0.23	0.28	1.60
4.060	0.24	0.32	1.95
4.080	0.25	0.36	1.41
4.100	0.25	0.38	0.96
4.120	0.26	0.40	1.17
4.140	0.27	0.42	1.28
4.160	0.28	0.45	1.40
4.180	0.29	0.48	1.18
4.200	0.30	0.50	1.16
4.220	0.31	0.53	1.53
4.240	0.32	0.56	0.88
4.260	0.33	0.56	0.41
4.280	0.34	0.57	0.75
4.300	0.35	0.59	0.76
4.320	0.36	0.60	0.54
4.340	0.38	0.61	0.43
4.360	0.39	0.62	0.42
4.380	0.40	0.63	0.53
4.400	0.41	0.64	0.55
4.420	0.43	0.65	0.23
4.440	0.44	0.65	-0.11
4.460	0.45	0.65	-0.11
4.480	0.47	0.65	0.01
4.500	0.48	0.65	-0.11
4.520	0.49	0.64	-0.11
4.540	0.50	0.64	-0.09
4.560	0.52	0.64	-0.30
4.580	0.53	0.63	-0.53
4.600	0.54	0.62	-0.66
4.620	0.55	0.61	0.93
4.640	0.57	0.66	1.64
4.660	0.58	0.67	-1.38
4.680	0.59	0.60	-2.98
4.700	0.60	0.55	-1.90
4.720	0.62	0.52	-0.93
4.740	0.63	0.51	0.09
4.760	0.64	0.53	-0.99
4.780	0.65	0.47	-0.83
4.800	0.65	0.50	0.39
4.820	0.67	0.49	-2.76
4.840	0.67	0.38	-3.30
